Aroma,Notas de salida,Notas de Corazón,Notas de Fondo,Precios 150 ML,Precios 250 ML,Precios 500 ML,Precios 1L
Primavera,"Fresa, hojas verdes","Gardenia, violeta","Madera clara, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Red Carpet,Incienso resinoso,"Madera de oud, sándalo","Patchouli terroso, ámbar",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Rosa Pasional,"Rosa roja, mandarina","Violeta, jazmín","Patchouli, almizcle sensual",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Rosé,Pétalos de rosa roja,"Rosa búlgara, geranio","Miel, almizcle suave",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Ruta aromática,"Limón verde, bergamota italiana","Cedro, almizcle limpio","Sándalo, ámbar amaderado",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Serenity,"Albaricoque, manzana, ciruela","Jazmín, violeta","Roble leñoso, menta liviana",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Shea,"Manzana jugosa, frutos rojos","Cacao cremoso, flores blancas","Rosa damascena, vainilla suave",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Soft pear,"Pera madura, néctar de durazno","Flor de azahar, jazmín","Ámbar dorado, vainilla",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Sunny,"Piña, limón siciliano","Flor de tiaré, jazmín solar","Vainilla tropical, coco",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Sweet Harvest,"Manzana roja, pera","Canela, clavo de olor","Vainilla, madera de cedro",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Té silvestre,"Hierba luisa fresca, lima verde","Té verde, hojas de menta","Musgo blanco, lavanda",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Tropical Fruits,"Granada jugosa, mango","Flor de hibiscus, piña","Ámbar dulce, vainilla",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Urban Fit ,"Madera de roble, bergamota","Notas acuáticos, especias","Cedro blanco, almizcle",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Vainilla Glow,"Vainilla, ralladura de naranja","Caramelo suave, crema batida","Madera cálida, azúcar moreno",S/.90.00,S/.125.00,S/.229.00,S/.439.00
White Tea,"Bergamota, hojas de té","Flor de loto, jazmín","Almizcle blanco, madera clara",S/.90.00,S/.125.00,S/.229.00,S/.439.00
Wild Adventure,"Lavanda, cáscara de limón",Acordes frescos verdes,"Ámbar seco, madera masculina",S/.90.00,S/.125.00,S/.229.00,S/.439.00
